pert_iname	classes
ketotifen	Histamine receptor agonist|Leukotriene receptor antagonist|Phosphodiesterase inhibitor|Histamine receptor ligand
karakoline	Phytotoxin
kawain	Calcium channel modulator|MTOR inhibitor|Sodium channel blocker
KI-8751	VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
L-161982	Prostanoid receptor antagonist
L-670596	Prostanoid receptor antagonist
L-755507	Adrenergic receptor agonist
L-168049	Glucagon receptor antagonist
L-655708	GABA receptor inverse agonist
L-701324	Glutamate receptor antagonist
L-741742	Dopamine receptor antagonist
L-stepholidine	Dopamine receptor agonist|Dopamine receptor antagonist
labetalol	Adrenergic receptor antagonist
lasalocid	Bacterial permeability inducer
leu-enkephalin	Opioid receptor agonist
linoleic-acid	Oxidative stress inducer
liothyronine	Thyroid hormone stimulant
liquiritigenin	Aromatase inhibitor
lobaric-acid	Tyrosine phosphatase inhibitor
lobendazole	Anthelmintic agent
loxapine	Dopamine receptor antagonist|Serotonin receptor antagonist
lupanine	Sodium channel blocker
LY-344864	Serotonin receptor agonist
tomelukast	Leukotriene receptor antagonist
LY-294002	MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor
LY-83583	Guanylyl cyclase inhibitor
laudanosine	Central nervous system agent
letrozole	Aromatase inhibitor
leucodin	Melanin inhibitor
linopirdine	Potassium channel blocker
marmesin	Angiogenesis inhibitor
MBCQ	Phosphodiesterase inhibitor
MDL-11939	Serotonin receptor antagonist
MDL-29951	Glutamate receptor antagonist
MDL-73005EF	Serotonin receptor antagonist
mebeverine	Acetylcholine receptor antagonist
meloxicam	Cyclooxygenase inhibitor
menadione	Mitochondrial DNA polymerase inhibitor|Phosphatase inhibitor
mephentermine	Adrenergic receptor agonist
mesulergine	Dopamine receptor agonist
methoxsalen	DNA synthesis inhibitor
methylergometrine	Dopamine receptor antagonist|Serotonin receptor antagonist
methysergide	Serotonin receptor antagonist
metolazone	Carbonic anhydrase inhibitor
mexiletine	Sodium channel blocker
midodrine	Adrenergic receptor agonist
minaprine	Serotonin reuptake inhibitor
mitomycin-c	DNA alkylating drug|DNA inhibitor|DNA alkylating agent|DNA synthesis inhibitor
mitotane	Antineoplastic agent
MK-212	Serotonin receptor agonist
ML-9	Myosin light chain kinase inhibitor
MRS-1334	Adenosine receptor antagonist
maprotiline	Norepinephrine reputake inhibitor|Tricyclic antidepressant
medetomidine	Adrenergic receptor agonist
megestrol	Progesterone receptor agonist
mephenytoin	Hydantoin antiepileptic
metanephrine	Epinephrine metabolite
metergoline	Dopamine receptor agonist|Serotonin receptor antagonist
methyl-2,5-dihydroxycinnamate	Tyrosine kinase inhibitor|EGFR inhibitor
metixene	Acetylcholine receptor antagonist
metrizamide	Radiopaque medium
metyrapone	Cytochrome P450 inhibitor
mirtazapine	Adrenergic receptor antagonist|Serotonin receptor antagonist
molindone	Dopamine receptor antagonist
moracizine	Sodium channel blocker
mycophenolic-acid	Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
BRD-K51557114	GlyT-2 inhibitor
BRD-K98297262	Fungal 1,3-beta-D-glucan synthase inhibitor
N-formylmethionylalanine	Macrophage activator
N-methylquipazine	Serotonin receptor agonist
N20C	Glutamate receptor antagonist
N6-cyclopentyladenosine	Adenosine receptor agonist
nabumetone	Cyclooxygenase inhibitor
nadolol	Adrenergic receptor antagonist
naftidrofuryl	Adrenergic receptor antagonist
naltrexone	Opioid receptor antagonist
naproxol	Anti-inflammatory agent
NBQX	Glutamate receptor antagonist
NCS-382	GABA receptor antagonist
nicardipine	Calcium channel blocker
nicergoline	Adrenergic receptor antagonist
niclosamide	DNA replication inhibitor|STAT inhibitor
nicotine	Acetylcholine receptor agonist
nimodipine	Calcium channel blocker
nitrendipine	Calcium channel blocker
nitrofural	Bacterial DNA inhibitor
nocodazole	Tubulin inhibitor
norethindrone	Progestogen hormone
norgestimate	Progesterone receptor agonist
NS-1619	Calcium channel activator
NS-3694	Glutamate receptor antagonist
NSC-119889	Protein synthesis inhibitor
NSC-23766	Ras GTPase inhibitor
NSC-663284	CDC inhibitor
NU-7026	DNA dependent protein kinase inhibitor|MTOR inhibitor|PI3K inhibitor
tosyl-phenylalanyl-chloromethyl-ketone	Chymotrypsin inhibitor
nalbuphine	Opioid receptor agonist|Opioid receptor antagonist
naloxone	Opioid receptor antagonist
naringenin	Aromatase inhibitor|TRPV antagonist
naringin	Cytochrome P450 inhibitor
niridazole	Phosphofructokinase inhibitor
olmesartan-medoxomil	Angiotensin receptor antagonist
ornidazole	Antiprotozoal agent
ouabain	ATPase inhibitor
oxantel	Anthelmintic agent
oxaprozin	Cyclooxygenase inhibitor
oxfendazole	Anthelmintic agent
oxibendazole	Tubulin inhibitor
oxotremorine-sesquifumarate	Cholinergic receptor agonist
oleylethanolamide	Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker
ondansetron	Serotonin receptor antagonist
oxprenolol	Adrenergic receptor antagonist
ozagrel	Thromboxane synthase inhibitor
PAC-1	Caspase activator
paclitaxel	Tubulin inhibitor
paroxetine	Selective serotonin reuptake inhibitor (SSRI)
PD-158780	EGFR inhibitor
penicillic-acid	Other antibiotic
benzylpenicillin	Penicillin binding protein inhibitor
penitrem-a	Potassium channel blocker
pentobarbital	Barbiturate antiepileptic|GABA receptor modulator
pergolide	Dopamine receptor agonist
perindopril	Angiotensin converting enzyme inhibitor
periplocymarin	Apoptosis stimulant
perphenazine	Dopamine receptor antagonist
PETCM	Caspase activator
PHCCC	Glutamate receptor agonist
phenacetin	Cyclooxygenase inhibitor
phenamil	TRPV antagonist
phenolphthalein	Indicator dye
phentermine	Dopamine uptake inhibitor|Serotonin reuptake inhibitor
physostigmine	Cholinesterase inhibitor|Acetylcholinesterase inhibitor
piceid	Glucosidase inhibitor
pindolol	Adrenergic receptor antagonist
pioglitazone	PPAR receptor agonist|Insulin sensitizer
pipamperone	Dopamine receptor antagonist
piperidolate	Acetylcholine receptor antagonist
piperine	Monoamine oxidase inhibitor
piperlongumine	Glutathione transferase inhibitor
pirenperone	Serotonin receptor antagonist
piroxicam	Cyclooxygenase inhibitor
pizotifen	Serotonin receptor antagonist
praziquantel	Anthelmintic agent
PRE-084	Sigma receptor agonist
prednisolone	Glucocorticoid receptor agonist
prednisolone-acetate	Glucocorticoid receptor agonist
prednisolone-hemisuccinate	Glucocorticoid receptor agonist
prednisone	Glucocorticoid receptor agonist
pregnenolone-succinate	GABA receptor negative allosteric modulator|Acetylcholine release enhancer|Dopamine release enhancer|Glutamate receptor modulator
primaquine	Antimalarial agent|DNA inhibitor
primidone	GABA receptor antagonist
proadifen	Nitric oxide synthase inhibitor
prochlorperazine	Dopamine receptor antagonist
progesterone	Progesterone receptor agonist
promazine	Dopamine receptor antagonist
propentofylline	Adenosine reuptake inhibitor|Phosphodiesterase inhibitor
protriptyline	Tricyclic antidepressant
PSB-06126	NTPDase inhibitor
PSB-069	NTPDase inhibitor
PSB-1115	Adenosine receptor antagonist
PSB-36	Adenosine receptor antagonist
paxilline	Potassium channel blocker
pepstatin	Aspartic protease inhibitor
phensuximide	Succinimide antiepileptic
pifithrin-mu	HSP inhibitor
piribedil	Dopamine receptor agonist
pirlindole	Monoamine oxidase inhibitor
pivmecillinam	Bacterial cell wall synthesis inhibitor
practolol	Adrenergic receptor antagonist
prednicarbate	Phospholipase activator
proscillaridin	ATPase inhibitor
protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor
protopine	Histamine receptor antagonist
purvalanol-a	CDK inhibitor|DYRK inhibitor
purvalanol-b	Tyrosine kinase inhibitor
quetiapine	Dopamine receptor antagonist|Serotonin receptor antagonist
mepacrine	NFkB pathway inhibitor|Cytokine production inhibitor|TP53 activator
quinapril	Angiotensin converting enzyme inhibitor
quipazine	Serotonin receptor agonist
QX-222	Sodium channel blocker
quinethazone	Thiazide diuretic
R-59022	Diacylglycerol kinase inhibitor|Protein kinase inhibitor
BRD-K16604360	Antiamyloidogenic agent
r(-)-propylnorapomorphine	Dopamine receptor agonist
ephedrine-(racemic)	Adrenergic receptor agonist
raloxifene	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
resorcinol	Phosphodiesterase inhibitor
rhamnetin	Aldose reductase inhibitor
rhapontin	Apoptosis stimulant
rhodomyrtoxin	Cytotoxic agent|DNA intercalator
rhodomyrtoxin-b	Cytotoxic agent|DNA intercalator
ritanserin	Serotonin receptor antagonist
rizatriptan	Serotonin receptor agonist
RK-682	Tyrosine phosphatase inhibitor
benzyl-quinazolin-4-yl-amine	EGFR inhibitor
Ro-04-6790	Serotonin receptor antagonist
robustic-acid	CAMP inhibitor
rofecoxib	Cyclooxygenase inhibitor
rolipram	Phosphodiesterase inhibitor
ropinirole	Dopamine receptor agonist
rosuvastatin	HMGCR inhibitor
RS-102895	CCR antagonist
RS-39604	Serotonin receptor antagonist
RS-79948	Adrenergic receptor antagonist
RU-24969	Serotonin receptor agonist
RU-28318	Cytochrome P450 inhibitor
RX-821002	Adrenergic receptor antagonist
ramipril	Angiotensin converting enzyme inhibitor
ranitidine	Histamine receptor antagonist
repaglinide	Insulin secretagogue
mepireserpate	Catecholamine depleting sympatholytic
resmethrin	Cytochrome P450 inhibitor
retrorsine	Antimitotic agent|Cytotoxic agent|Mutagenic
RHO-kinase-inhibitor-II	Rho associated kinase inhibitor
riboflavin	Vitamin B2
ricinine	Casein kinase inhibitor
ritodrine	Adrenergic receptor agonist
Ro-25-6981	Ionotropic glutamate receptor antagonist|Monamine transporter modulator
bisindolylmaleimide-ix	PKC inhibitor
Ro-90-7501	Beta amyloid inhibitor
rottlerin	MAP kinase inhibitor|Protein kinase inhibitor
S-14506	Serotonin receptor agonist
salicin	Anti-inflammatory agent
sappanone-a	Melanin inhibitor|Tyrosinase inhibitor
SB-203186	Serotonin receptor antagonist
SB-206553	Serotonin receptor antagonist
SB-216641	Serotonin receptor antagonist
SB-218078	CHK inhibitor
SB-258585	Serotonin receptor antagonist
SC-19220	Prostanoid receptor antagonist
SCH-28080	ATPase inhibitor
scopoline	Acetylcholine receptor antagonist
SD-169	P38 MAPK inhibitor
SDM-25N	Opioid receptor antagonist
selamectin	Nematocide
sertraline	Serotonin receptor antagonist
SIB-1893	Glutamate receptor antagonist
sildenafil	Phosphodiesterase inhibitor
simvastatin	HMGCR inhibitor
SKF-83566	Dopamine receptor antagonist
SKF-96365	Calcium channel blocker
dehydrocholate	Choleretic agent
solifenacin	Acetylcholine receptor antagonist
spiperone	Dopamine receptor antagonist
SQ-29548	Thromboxane receptor antagonist
mifobate	PPAR receptor antagonist
gabazine	GABA receptor antagonist
ST-638	Tyrosine kinase inhibitor
strychnine	Acetylcholine receptor antagonist
sulfinpyrazone	Uricosuric blocker
salsolinol	Monoamine oxidase inhibitor|Tyrosine hydroxylase inhibitor
salubrinal	Eukaryotic translation initiation factor inhibitor
siguazodan	Phosphodiesterase inhibitor
sotalol	Adrenergic receptor antagonist
spiroxatrine	Serotonin receptor antagonist
splitomycin	SIRT inhibitor
SRC-kinase-inhibitor-I	Src inhibitor
suloctidil	Adrenergic receptor antagonist
tacrolimus	Calcineurin inhibitor
tadalafil	Phosphodiesterase inhibitor
TAS-301	Calcium/calmodulin dependent protein kinase inhibitor
TCS-359	FLT3 inhibitor
tebuthiuron	Photosynthesis inhibitor
teniposide	Topoisomerase inhibitor
tenoxicam	Cyclooxygenase inhibitor
terfenadine	Histamine receptor antagonist
testosterone	Androgen receptor agonist
tetrahydrocannabinol-7-oic-acid	Anti-inflammatory agent|Cannabinoid metabolite
tetrahydropalmatine	Serotonin release inhibitor
tetrahydrozoline	Adrenergic receptor agonist
tetramisole	Immunostimulant
thalidomide	TNF production inhibitor
thapsigargin	ATPase inhibitor
thiotepa	Cytochrome P450 inhibitor
ticlopidine	Purinergic receptor antagonist
tolazoline	Adrenergic receptor antagonist
tolmetin	Cyclooxygenase inhibitor
toltrazuril	Antiprotozoal agent
toremifene	Selective estrogen receptor modulator (SERM)|Estrogen receptor antagonist
tranylcypromine	Monoamine oxidase inhibitor
trazodone	Adrenergic receptor antagonist|Serotonin receptor antagonist|Serotonin reuptake inhibitor
triamcinolone	Glucocorticoid receptor agonist
triamcinolone-acetonide	Immunosuppressant|Corticosteroid agonist|Glucocorticoid receptor agonist
triciribine	AKT inhibitor
triclosan	Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor
triflupromazine	Dopamine receptor antagonist
alimemazine	Histamine receptor agonist
trimetozine	Sedative
trimipramine	Norepinephrine reputake inhibitor|Tricyclic antidepressant
triprolidine	Histamine receptor antagonist
tropicamide	Acetylcholine receptor antagonist
tubocurarine	Acetylcholine receptor antagonist
talampicillin	Bacterial cell wall synthesis inhibitor
tamoxifen	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
tetrabenazine	Vesicular monoamine transporter inhibitor
tetrindole	Monoamine oxidase inhibitor
thiethylperazine	Dopamine receptor antagonist
thiorphan	Membrane metalloendopeptidase inhibitor
tianeptine	Selective serotonin reuptake enhancer (SSRE)
tiaprofenic-acid	Cyclooxygenase inhibitor
tocainide	Sodium channel blocker
torasemide	Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist
trequinsin	Phosphodiesterase inhibitor
tribenoside	Anti-inflammatory agent|Capillary stabilizing agent
tropisetron	Serotonin receptor antagonist
U-54494A	Opioid receptor agonist
U-0124	MEK inhibitor
VAMA-37	DNA dependent protein kinase inhibitor
MAZ-51	VEGFR inhibitor
venlafaxine	Serotonin reuptake inhibitor|Adrenergic inhibitor|Norepinephrine reuptake inhibitor
