pert_iname	classes
fluvoxamine	membrane transport modulators|cytochrome p 450 cyp2c8 inhibitors|cytochrome p 450 cyp2b6 inhibitors (strength unknown)|psychoanaleptics|central nervous system agents|tranquilizing agents|drugs that are mainly renally excreted|amines|cytochrome p 450 cyp3a4 substrates|hypoglycemia associated agents|p glycoprotein inhibitors|selective serotonin reuptake inhibitors|antidepressive agents, second generation|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|serotonin modulators|central nervous system depressants|neurotransmitter agents|antidepressive agents|cytochrome p 450 cyp3a4 inhibitors (strength unknown)|cytochrome p 450 cyp2d6 inhibitors|cytochrome p 450 cyp2b6 inhibitors|hydroxylamines|nervous system|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp3a4 inhibitors|cytochrome p 450 cyp3a4 inhibitors (moderate)|cytochrome p 450 cyp1a2 inhibitors (strong)|cytochrome p 450 substrates|enzyme inhibitors|cytochrome p 450 cyp3a inhibitors|chemically induced disorders|cytochrome p 450 cyp2c9 inhibitors|cytochrome p 450 cyp1a2 inhibitors|cytochrome p 450 cyp2c19 inhibitors (strong)|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp3a7 inhibitors (moderate)|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a7 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp2d6 inhibitors (moderate)|neurotransmitter uptake inhibitors|psychotropic drugs|cytochrome p 450 cyp1a2 substrates|bsep/abcb11 substrates|cytochrome p 450 cyp2c9 inhibitors (moderate)|oximes|anti anxiety agents
valsartan	oatp1b3 substrates|angiotensin ii receptor blockers (arbs), plain|angiotensin ii antagonists and diuretics|angiotensin 2 receptor blocker|antihypertensive agents indicated for hypertension|hypotensive agents|cytochrome p 450 cyp2c9 inhibitors (strength unknown)|oatp1b1/slco1b1 inhibitors|cardiovascular agents|oatp1b1/slco1b1 substrates|cytochrome p 450 enzyme inhibitors|agents causing angioedema|angiotensin ii receptor blockers (arbs) and diuretics|angiotensin ii type 2 receptor blockers|cytochrome p 450 substrates|angiotensin ii receptor blockers (arbs) and calcium channel blockers|cytochrome p 450 cyp2c9 substrates|cytochrome p 450 cyp2c9 inhibitors|agents acting on the renin angiotensin system|antihypertensive agents|agents causing hyperkalemia|angiotensin ii antagonists and calcium channel blockers|angiotensin receptor antagonists|angiotensin ii type 1 receptor blockers
ramipril	ace inhibitors and diuretics|agents acting on the renin angiotensin system|cholinesterase inhibitors|agents causing angioedema|angiotensin converting enzyme inhibitors|antihypertensive agents|agents causing hyperkalemia|drugs causing inadvertant photosensitivity|heterocyclic compounds, fused ring|photosensitizing agents|protease inhibitors|hypotensive agents|ace inhibitors and calcium channel blockers|enzyme inhibitors|lipid modifying agents|cardiovascular agents|antihypertensive agents indicated for hypertension
flunisolide	corticosteroids for systemic use|anti asthmatic agents|adrenal cortex hormones|agents to treat airway disease|cytochrome p 450 cyp3a4 inducers|cytochrome p 450 cyp3a4 substrates|fused ring compounds|corticosteroids|steroids, fluorinated|anti inflammatory agents|pregnanes|cytochrome p 450 substrates|cytochrome p 450 cyp3a inducers|immunosuppressive agents|corticosteroid hormone receptor agonists|adrenals|drugs for obstructive airway diseases|respiratory system agents|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a4 inducers (strength unknown)|nasal preparations|cytochrome p 450 enzyme inducers|steroids|pregnadienes
baclofen	amino acids, peptides, and proteins|gaba agonists|muscle relaxants|central nervous system agents|drugs that are mainly renally excreted|musculo skeletal system|butyrates|muscle relaxants, centrally acting agents|gaba derivative skeletal muscle relaxants|amino acids|central nervous system depressants|neurotransmitter agents|agents causing muscle toxicity|gamma aminobutyric acid ergic agonist|gaba b receptor agonists|gaba agents|muscle relaxants, peripherally acting agents|aminobutyrates
nicotine	agents producing tachycardia|ganglionic stimulants|cholinergic nicotinic agonist|ganglion blockers|cytochrome p 450 cyp2e1 inducers (strength unknown)|drugs used in addictive disorders|cytochrome p 450 cyp1a2 inducers (strength unknown)|cytochrome p 450 cyp2a6 substrates|cytochrome p 450 cyp3a4 substrates|miscellaneous autonomic drugs|cytochrome p 450 cyp1a2 inducers|nicotine, metabolism|cytochrome p 450 cyp2c19 substrates|cholinergic agonists|cytochrome p 450 cyp2b6 substrates|cytochrome p 450 cyp2e1 inhibitors|cytochrome p 450 cyp2a6 inhibitors (strength unknown)|oct2 inhibitors|neurotransmitter agents|nicotine, antagonists & inhibitors|pyridines|nicotinic agonists|nervous system|cholinergic agents|cytochrome p 450 enzyme inhibitors|smoking cessation agents|alkaloids|cytochrome p 450 substrates|cytochrome p 450 cyp2c9 substrates|monoamine oxidase a inhibitors  for interaction with monoamine oxidase a substrates|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp2e1 inducers|oct1 inhibitors|cytochrome p 450 cyp3a substrates|drugs used in nicotine dependence|peripheral nervous system agents|cytochrome p 450 cyp2e1 substrates|cytochrome p 450 enzyme inducers|solanaceous alkaloids|cytochrome p 450 cyp2e1 inhibitors (strength unknown)|cytochrome p 450 cyp1a2 substrates|cytochrome p 450 cyp2a6 inhibitors|autonomic agents|cytochrome p 450 cyp2c8 substrates
lorazepam	hypnotics and sedatives|muscle relaxants|central nervous system agents|tranquilizing agents|drugs that are mainly renally excreted|psycholeptics|cytochrome p 450 cyp3a4 substrates|benzodiazepine hypnotics and sedatives|muscle relaxants, centrally acting agents|benzazepines|anticonvulsants|central nervous system depressants|neurotransmitter agents|benzodiazepines and benzodiazepine derivatives|nervous system|anti anxiety agents|gaba modulators|gastrointestinal agents|cytochrome p 450 substrates|gaba agents|heterocyclic compounds, fused ring|cytochrome p 450 cyp3a substrates|peripheral nervous system agents|psychotropic drugs|antiemetics|autonomic agents|benzodiazepinones|cytochrome p 450 cyp3a4 substrates (strength unknown)
esmolol	adrenergic agents|beta blockers (beta1 selective)|antihypertensive agents indicated for hypertension|amines|bradycardia causing agents|beta blocking agents, selective|adrenergic antagonists|hypotensive agents|antiarrhythmic agents|neurotransmitter agents|qtc prolonging agents|adrenergic beta 1 receptor antagonists|propanols|adrenergic beta antagonists|cytochrome p 450 substrates|potential qtc prolonging agents|cytochrome p 450 cyp2d6 substrates|antihypertensive agents|agents causing hyperkalemia|amino alcohols|alcohols
bortezomib	cytochrome p 450 cyp2c19 substrates with a narrow therapeutic index|pyrazines|antineoplastic and immunomodulating agents|cytochrome p 450 cyp1a2 substrates with a narrow therapeutic index|oatp1b3 inhibitors|acids|antineoplastic agents|hepatotoxic agents|cytochrome p 450 cyp3a4 substrates|p glycoprotein substrates|cytochrome p 450 cyp1a2 inhibitors (strength unknown)|cytochrome p 450 cyp2c19 substrates|cytochrome p 450 cyp2d6 substrates with a narrow therapeutic index|hypotensive agents|cytochrome p 450 cyp2c19 inhibitors (weak)|cytochrome p 450 cyp2c9 inhibitors (strength unknown)|cytochrome p 450 cyp1a2 inhibitors (moderate)|myelosuppressive agents|qtc prolonging agents|cytochrome p 450 enzyme inhibitors|cytochrome p 450 substrates|cytochrome p 450 cyp2c9 substrates|cytochrome p 450 cyp3a4 substrates with a narrow therapeutic index|cytochrome p 450 cyp2c9 inhibitors|cytochrome p 450 cyp1a2 inhibitors|acids, noncarboxylic|immunosuppressive agents|potential qtc prolonging agents|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|cardiotoxic antineoplastic agents|cytochrome p 450 cyp1a2 substrates|boron compounds|narrow therapeutic index drugs|p glycoprotein substrates with a narrow therapeutic index|cytochrome p 450 cyp2c9 substrates with a narrow therapeutic index|proteasome inhibitors|boronic acids
carbidopa	aromatic l amino acid decarboxylase inhibitors|phenols|aromatic amino acid decarboxylase inhibitors|central nervous system agents|hydrazines|anti parkinson drugs|anti dyskinesia agents|catechols|biogenic amines|biogenic monoamines|drugs that are mainly renally excreted|enzyme inhibitors|benzene derivatives|amines|catecholamines
phentermine	appetite depressants|agents producing tachycardia|central nervous system agents|adrenergic agents|increased sympathetic activity|centrally acting antiobesity products|amines|cytochrome p 450 cyp3a4 substrates|serotonergic drugs shown to increase risk of serotonin syndrome|agents that produce hypertension|neurotransmitter agents|antiobesity preparations, excl. diet products|anti obesity agents|sympathomimetics|cytochrome p 450 substrates|monoamine oxidase a inhibitors  for interaction with monoamine oxidase a substrates|appetite suppression|cytochrome p 450 cyp3a substrates|amphetamines|peripheral nervous system agents|alimentary tract and metabolism|autonomic agents|phenethylamines|sympathomimetic amine anorectic|cytochrome p 450 cyp3a4 substrates (strength unknown)
tramadol	opiate agonists|agents producing tachycardia|dimethylamines|sensory system agents|central nervous system agents|cyclohexanes|serotonin receptor antagonists|opioids|drugs that are mainly renally excreted|amines|cytochrome p 450 cyp3a4 substrates|narcotics|opioid agonist|serotonergic drugs shown to increase risk of serotonin syndrome|serotonin agents|analgesics|anticholinergic agents|cycloparaffins|cytochrome p 450 cyp2b6 substrates|serotonin modulators|central nervous system depressants|antidepressive agents|nmda receptor antagonists|nervous system|agents that reduce seizure threshold|cyclohexanols|cytochrome p 450 substrates|serotonin 5 ht2 receptor antagonists|serotonin 5 ht2c receptor antagonists|muscarinic antagonists|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp3a substrates|combined inhibitors of serotonin/norepinephrine reuptake|peripheral nervous system agents|ugt1a1 substrates|alcohols
vidarabine	carbohydrates|ophthalmologicals|nucleosides|antivirals for systemic use|ribonucleosides|nucleosides and nucleotides excl. reverse transcriptase inhibitors|glycosides|anti infective agents|antiviral agents|nucleic acids, nucleotides, and nucleosides|noxae|heterocyclic compounds, fused ring|purine nucleosides|antiinfectives for systemic use|antimetabolites|sensory organs|direct acting antivirals|purines|toxic actions|arabinonucleosides
betaxolol	propanolamines|adrenergic agents|ophthalmologicals|beta blockers (beta1 selective)|phenoxypropanolamines|antihypertensive agents indicated for hypertension|amines|bradycardia causing agents|beta blocking agents, selective|adrenergic antagonists|hypotensive agents|antiarrhythmic agents|neurotransmitter agents|antiglaucoma preparations and miotics|cardiovascular agents|qtc prolonging agents|adrenergic beta 1 receptor antagonists|propanols|moderate risk qtc prolonging agents|adrenergic beta antagonists|cytochrome p 450 substrates|cytochrome p 450 cyp2d6 substrates|beta adrenergic agents|antihypertensive agents|peripheral nervous system agents|agents causing hyperkalemia|cytochrome p 450 cyp1a2 substrates|sensory organs|amino alcohols|autonomic agents|sympatholytics|alcohols
fluconazole	antifungal agents|hormones, hormone substitutes, and hormone antagonists|hormone antagonists|triazoles|drugs that are mainly renally excreted|cytochrome p 450 cyp3a5 inhibitors (weak)|antifungals for dermatological use|p glycoprotein inhibitors|cytochrome p 450 cyp3a5 inhibitors|antimycotics for systemic use|qtc prolonging agents|steroid synthesis inhibitors|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp2c9 inhibitors (strong)|cytochrome p 450 cyp3a4 inhibitors|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|cytochrome p 450 cyp3a4 inhibitors (moderate)|antifungals for topical use|enzyme inhibitors|imidazole and triazole derivatives|14 alpha demethylase inhibitors|anti infective agents|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp2c9 inhibitors|potential qtc prolonging agents|azole antifungals|triazole derivatives|cytochrome p 450 cyp2c19 inhibitors|antiinfectives for systemic use|dermatologicals|agents causing hyperkalemia
troglitazone	ugt1a3 substrates|cytochrome p 450 cyp2c8 inhibitors|thiazoles|drugs used in diabetes|cytochrome p 450 cyp2b6 inducers (strength unknown)|ugt2b7 substrates|cytochrome p 450 cyp3a4 inducers|chromans|cytochrome p 450 cyp3a7 inhibitors (strength unknown)|cytochrome p 450 cyp2c8 inhibitors (moderate)|cytochrome p 450 cyp3a5 inhibitors|ugt1a6 inhibitors|blood glucose lowering agents|oatp1b1/slco1b1 inhibitors|cytochrome p 450 cyp2b6 inducers|benzopyrans|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|thiazolidinediones|cytochrome p 450 substrates|cytochrome p 450 cyp2c9 substrates|cytochrome p 450 cyp3a inducers|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp2c9 inhibitors|heterocyclic compounds, fused ring|ugt1a6 substrate|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a7 inhibitors|cytochrome p 450 cyp3a4 inducers (strength unknown)|cytochrome p 450 enzyme inducers|alimentary tract and metabolism|ugt1a9 substrates|pyrans|sulfur compounds|cytochrome p 450 cyp3a5 inhibitors (strength unknown)|cytochrome p 450 cyp2c9 inhibitors (moderate)|bsep/abcb11 inhibitors|ugt1a1 substrates|ugt1a4 substrates|cytochrome p 450 cyp2c8 substrates
erythromycin	oatp1b3 substrates|antibacterials for systemic use|anti bacterial agents|oatp1b3 inhibitors|erythromycin and similars|ophthalmologicals|cytochrome p 450 cyp3a4 substrates|cytochrome p 450 cyp3a7 inhibitors (strength unknown)|p glycoprotein inhibitors|anti acne preparations for topical use|p glycoprotein substrates|cytochrome p 450 cyp3a5 inhibitors|macrolides, lincosamides and streptogramins|oatp1b1/slco1b1 inhibitors|antiinfectives for treatment of acne|cytochrome p 450 cyp3a7 substrates|qtc prolonging agents|oatp1b1/slco1b1 substrates|macrolide antimicrobial|cytochrome p 450 enzyme inhibitors|cytochrome p 450 cyp3a4 inhibitors|anti acne preparations|cytochrome p 450 cyp3a4 inhibitors (moderate)|gastrointestinal agents|moderate risk qtc prolonging agents|cytochrome p 450 substrates|enzyme inhibitors|anti infective agents|cytochrome p 450 cyp3a inhibitors|macrolides|cytochrome p 450 cyp3a7 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a5 substrates|antiinfectives for systemic use|dermatologicals|protein synthesis inhibitors|erythromycins|cytochrome p 450 cyp3a5 inhibitors (strength unknown)|bsep/abcb11 substrates|bsep/abcb11 inhibitors|lactones
caffeine	purinergic antagonists|central nervous system stimulants|caffeine and caffeine containing products|psychoanaleptics|central nervous system agents|diagnostic agents|bcrp/abcg2 inhibitors|phosphodiesterase inhibitors|purinergic agents|cytochrome p 450 cyp3a4 substrates|cytochrome p 450 cyp1a2 inhibitors (strength unknown)|purinones|tests for gastric secretion|neurotransmitter agents|cytochrome p 450 cyp1a2 inhibitors (moderate)|respiratory and cns stimulants|nervous system|cytochrome p 450 enzyme inhibitors|alkaloids|psychostimulants, agents used for adhd and nootropics|cytochrome p 450 substrates|anorexigenic agents & respiratory and cns stimulants|enzyme inhibitors|cytochrome p 450 cyp2c9 substrates|xanthine derivatives|cytochrome p 450 cyp1a2 inhibitors|heterocyclic compounds, fused ring|drugs for obstructive airway diseases|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp3a substrates|central nervous system stimulation|cytochrome p 450 cyp2e1 substrates|cytochrome p 450 cyp1a2 substrates|purines|tricarboxylic acids|cytochrome p 450 cyp2c8 substrates
sildenafil	urological agents|cytochrome p 450 cyp2c9 inhibitors (weak)|piperazines|cytochrome p 450 cyp3a4 substrates|p glycoprotein inhibitors|p glycoprotein substrates|cytochrome p 450 cyp2c19 substrates|sulfones|cytochrome p 450 cyp2e1 inhibitors|cytochrome p 450 cyp2c19 inhibitors (weak)|oatp1b1/slco1b1 inhibitors|cardiovascular agents|cytochrome p 450 cyp3a7 substrates|phosphodiesterase 5 inhibitors|amides|urologicals|cytochrome p 450 enzyme inhibitors|drugs used in erectile dysfunction|agents causing muscle toxicity|sulfonamides|vasodilating agents|cytochrome p 450 substrates|enzyme inhibitors|cytochrome p 450 cyp2c9 substrates|cytochrome p 450 cyp2c9 inhibitors|heterocyclic compounds, fused ring|cytochrome p 450 cyp2d6 substrates|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a5 substrates|cytochrome p 450 cyp2e1 substrates|cytochrome p 450 cyp2e1 inhibitors (strength unknown)|sulfur compounds|purines
dofetilide	membrane transport modulators|amines|cytochrome p 450 cyp3a4 substrates|antiarrhythmics, class iii|oct2 substrates|sulfones|antiarrhythmic agents|cardiovascular agents|qtc prolonging agents|amides|cytochrome p 450 substrates|ethylamines|cytochrome p 450 cyp3a4 substrates with a narrow therapeutic index|cytochrome p 450 cyp3a substrates|highest risk qtc prolonging agents|narrow therapeutic index drugs|sulfur compounds|cardiac therapy|potassium channel blockers|oct2 substrates with a narrow therapeutic index
pyrimethamine	folic acid antagonists|mate inhibitors|cytochrome p 450 cyp2c8 inhibitors|cytochrome p 450 enzyme inhibitors|antibiotics for pneumocystis pneumonia|cytochrome p 450 cyp2c8 inhibitors (weak)|pyrimidines|diaminopyrimidines|enzyme inhibitors|mate 2 inhibitors|antimalarials|anti infective agents|antiprotozoals|mate 1 inhibitors|antiparasitic agents|antiparasitic products, insecticides and repellents
reserpine	adrenergic uptake inhibitors|membrane transport modulators|central nervous system agents|adrenergic agents|tranquilizing agents|drugs that are mainly renally excreted|antihypertensive agents indicated for hypertension|p glycoprotein inhibitors|p glycoprotein substrates|catecholamine depleting sympatholytic|indoles|oct2 substrates|gastrointestinal acidifying agents|hypotensive agents|antipsychotic agents|p glycoprotein inducers|cytochrome p 450 cyp3a5 inducers (strength unknown)|indole alkaloids|central nervous system depressants|neurotransmitter agents|oatp1b1/slco1b1 inhibitors|antidepressive agents|cardiovascular agents|alkaloids|decreased sympathetic activity|cytochrome p 450 cyp3a inducers|heterocyclic compounds, fused ring|oct1 inhibitors|neurotoxic agents|antihypertensive agents|neurotransmitter uptake inhibitors|cytochrome p 450 enzyme inducers|psychotropic drugs|bsep/abcb11 inhibitors|cytochrome p 450 cyp3a5 inducers|antiadrenergic agents, centrally acting|secologanin tryptamine alkaloids
