pert_iname	classes
fludrocortisone-acetate	Steroids|17-Hydroxycorticosteroids|Pharmacologic Actions|Anti-Inflammatory Agents|Pregnanes|11-Hydroxycorticosteroids|Hormones|fludrocortisone acetate|Pregnenediones|Physiological Effects of Drugs|Adrenal Cortex Hormones|Pregnenes|Hormones, Hormone Substitutes, and Hormone Antagonists|Hydroxycorticosteroids|Polycyclic Compounds|Hydrocortisone|Chemicals and Drugs Category|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses
fulvestrant	Estrogens|Gonadal Steroid Hormones|Estrenes|Hormone Antagonists|Steroids|Estrogen Receptor Antagonists|Pharmacologic Actions|Estradiol|Antineoplastic Agents|Estranes|Hormones|Physiological Effects of Drugs|Estradiol Congeners|Hormones, Hormone Substitutes, and Hormone Antagonists|Polycyclic Compounds|Fulvestrant|Chemicals and Drugs Category|Fused-Ring Compounds|Gonadal Hormones|Chemical Actions and Uses|Antineoplastic Agents, Hormonal|Therapeutic Uses|Estrogen Antagonists
capecitabine	Fluorouracil|Nucleosides|Noxae|Antimetabolites|Deoxycytidine|Immunosuppressive Agents|Deoxyribonucleosides|Pharmacologic Actions|Glycosides|Antineoplastic Agents|Heterocyclic Compounds|Nucleic Acids, Nucleotides, and Nucleosides|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Immunologic Factors|Pyrimidinones|Ribonucleosides|Toxic Actions|Antimetabolites, Antineoplastic|Capecitabine|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Pyrimidine Nucleosides|Pyrimidines|Cytidine|Carbohydrates|Chemical Actions and Uses|Uracil|Therapeutic Uses
AT-9283	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Benzimidazoles
fenretinide	Macrocyclic Compounds|Pigments, Biological|Antioxidants|Hydrocarbons, Acyclic|Pharmacologic Actions|Cyclohexenes|Hydrocarbons, Alicyclic|Fenretinide|Hydrocarbons, Cyclic|Cyclohexanes|Antineoplastic Agents|Organic Chemicals|Physiological Effects of Drugs|Alkenes|Protective Agents|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Biological Factors|Anticarcinogenic Agents|Cycloparaffins|Polycyclic Compounds|Chemicals and Drugs Category|Retinoids|Carotenoids|Specialty Uses of Chemicals|Polyenes|Chemical Actions and Uses|Terpenes|Therapeutic Uses
R-59022	Heterocyclic Compounds|Organic Chemicals|Pharmacologic Actions|Sulfur Compounds|Chemicals and Drugs Category|Azoles|Molecular Mechanisms of Pharmacological Action|Pyrimidines|Heterocyclic Compounds, 1-Ring|Thiazoles|R 59022|Chemical Actions and Uses|Inorganic Chemicals|Pyrimidinones|Enzyme Inhibitors
harpagoside	Pyrans|Heterocyclic Compounds|harpagoside|Glycosides|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Carbohydrates
entecavir	entecavir|Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Purinones|Purines|Antiviral Agents|Hypoxanthines|Anti-Infective Agents|Chemicals and Drugs Category|Pharmacologic Actions|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Therapeutic Uses
flunarizine	Histamine Antagonists|Calcium-Regulating Hormones and Agents|Flunarizine|Anticonvulsants|Pharmacologic Actions|Histamine H1 Antagonists|Heterocyclic Compounds|Neurotransmitter Agents|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Vasodilator Agents|Membrane Transport Modulators|Central Nervous System Agents|Chemicals and Drugs Category|Histamine Agents|Piperazines|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Calcium Channel Blockers|Therapeutic Uses
tetracycline	Polycyclic Aromatic Hydrocarbons|Pharmacologic Actions|Organic Chemicals|Anti-Bacterial Agents|Polycyclic Compounds|Anti-Infective Agents|Chemicals and Drugs Category|Hydrocarbons, Cyclic|Naphthacenes|Molecular Mechanisms of Pharmacological Action|Tetracycline|Protein Synthesis Inhibitors|Chemical Actions and Uses|Hydrocarbons|Hydrocarbons, Aromatic|Enzyme Inhibitors|Therapeutic Uses|Tetracyclines
nimesulide	Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Antirheumatic Agents|Anti-Inflammatory Agents|Analgesics|Enzyme Inhibitors|Organic Chemicals|Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Sulfones|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Sulfonamides|Amides|Central Nervous System Agents|nimesulide|Chemicals and Drugs Category|Sensory System Agents|Chemical Actions and Uses|Therapeutic Uses
tranilast	Histamine Antagonists|tranilast|Calcium-Regulating Hormones and Agents|Benzoates|Platelet Aggregation Inhibitors|Acids, Carbocyclic|Benzene Derivatives|Pharmacologic Actions|Antirheumatic Agents|Hydrocarbons, Cyclic|Carboxylic Acids|Hematologic Agents|Histamine H1 Antagonists|Anti-Allergic Agents|Anti-Inflammatory Agents|Analgesics|Organic Chemicals|Anti-Inflammatory Agents, Non-Steroidal|Neurotransmitter Agents|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Aminobenzoates|Membrane Transport Modulators|Central Nervous System Agents|Chemicals and Drugs Category|Histamine Agents|ortho-Aminobenzoates|Sensory System Agents|Chemical Actions and Uses|Hydrocarbons, Aromatic|Calcium Channel Blockers|Therapeutic Uses
homatropine	homatropine|Organic Chemicals|Azabicyclo Compounds|Heterocyclic Compounds, Bridged-Ring|Physiological Effects of Drugs|Chemicals and Drugs Category|Tropanes|Pharmacologic Actions|Parasympatholytics|Heterocyclic Compounds|Chemical Actions and Uses|Autonomic Agents|Bridged Bicyclo Compounds, Heterocyclic|Aza Compounds|Alkaloids|Peripheral Nervous System Agents
levofloxacin	Anti-Bacterial Agents|Anti-Infective Agents|Fluoroquinolones|Quinolones|Heterocyclic Compounds, Fused-Ring|Ofloxacin|Drug-Related Side Effects and Adverse Reactions|Pharmacologic Actions|Diseases Category|Nucleic Acid Synthesis Inhibitors|Chemically-Induced Disorders|Metabolic Side Effects of Drugs and Substances|Renal Agents|Antineoplastic Agents|Levofloxacin|Enzyme Inhibitors|Heterocyclic Compounds|Topoisomerase II Inhibitors|Cytochrome P-450 CYP1A2 Inhibitors|Molecular Mechanisms of Pharmacological Action|Topoisomerase Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Heterocyclic Compounds, 2-Ring|Chemicals and Drugs Category|Anti-Infective Agents, Urinary|Chemical Actions and Uses|Quinolines|Therapeutic Uses
bumetanide	Bumetanide|Benzoates|Inorganic Chemicals|Acids, Carbocyclic|Pharmacologic Actions|Benzene Derivatives|Sulfur Compounds|Hydrocarbons, Cyclic|Carboxylic Acids|meta-Aminobenzoates|Organic Chemicals|Sulfones|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Sodium Potassium Chloride Symporter Inhibitors|Sulfonamides|Aminobenzoates|Amides|Diuretics|Membrane Transport Modulators|Natriuretic Agents|Chemicals and Drugs Category|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
periplocymarin	Cardiotonic Agents|Steroids|periplocymarin|Pharmacologic Actions|Glycosides|Enzyme Inhibitors|Physiological Effects of Drugs|Cardanolides|Cardiac Glycosides|Cardiovascular Agents|Protective Agents|Molecular Mechanisms of Pharmacological Action|Anti-Arrhythmia Agents|Polycyclic Compounds|Chemicals and Drugs Category|Specialty Uses of Chemicals|Fused-Ring Compounds|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
kavain	Pyrans|Anticonvulsants|Pharmacologic Actions|Pyrones|Central Nervous System Agents|kavain|Anti-Anxiety Agents|Physiological Effects of Drugs|Chemicals and Drugs Category|Psychotropic Drugs|Tranquilizing Agents|Central Nervous System Depressants|Heterocyclic Compounds|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
lenalidomide	Growth Inhibitors|Lenalidomide|Heterocyclic Compounds, Fused-Ring|Imides|Acids, Carbocyclic|Pharmacologic Actions|Growth Substances|Carboxylic Acids|Piperidines|Antineoplastic Agents|Phthalic Acids|Heterocyclic Compounds|Organic Chemicals|Isoindoles|Physiological Effects of Drugs|Immunologic Factors|Angiogenesis Inhibitors|Heterocyclic Compounds, 2-Ring|Phthalimides|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Piperidones|Angiogenesis Modulating Agents|Chemical Actions and Uses|Therapeutic Uses
saquinavir	Anti-Retroviral Agents|HIV Protease Inhibitors|Viral Protease Inhibitors|Saquinavir|Anti-Infective Agents|Protease Inhibitors|Heterocyclic Compounds, Fused-Ring|Drug-Related Side Effects and Adverse Reactions|Pharmacologic Actions|Diseases Category|Chemically-Induced Disorders|Metabolic Side Effects of Drugs and Substances|Cytochrome P-450 CYP3A Inhibitors|Isoquinolines|Enzyme Inhibitors|Heterocyclic Compounds|Anti-HIV Agents|Molecular Mechanisms of Pharmacological Action|Cytochrome P-450 Enzyme Inhibitors|Heterocyclic Compounds, 2-Ring|Antiviral Agents|Chemicals and Drugs Category|Chemical Actions and Uses|Quinolines|Therapeutic Uses
ZK-164015	Organic Chemicals|Heterocyclic Compounds, 2-Ring|Sulfur Compounds|Indoles|Sulfones|Chemicals and Drugs Category|Heterocyclic Compounds|Heterocyclic Compounds, Fused-Ring|ZK 164015|Inorganic Chemicals
AY-9944	Macrocyclic Compounds|Noxae|Antimetabolites|Anticholesteremic Agents|Pharmacologic Actions|Hydrocarbons, Alicyclic|Hydrocarbons, Cyclic|Cyclohexanes|Enzyme Inhibitors|Organic Chemicals|Molecular Mechanisms of Pharmacological Action|Hypolipidemic Agents|Hydrocarbons|Cycloparaffins|Toxic Actions|Polycyclic Compounds|Chemicals and Drugs Category|Lipid Regulating Agents|trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride|Chemical Actions and Uses|Therapeutic Uses
pentobarbital	Adjuvants, Anesthesia|Pharmacologic Actions|Hypnotics and Sedatives|Central Nervous System Depressants|Barbiturates|Heterocyclic Compounds|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|GABA Modulators|GABA Agents|Pyrimidinones|Pentobarbital|Central Nervous System Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Pyrimidines|Chemical Actions and Uses|Therapeutic Uses
reserpine	Antihypertensive Agents|Antipsychotic Agents|Indolizines|Psychotropic Drugs|Adrenergic Antagonists|Adrenergic alpha-2 Receptor Antagonists|Heterocyclic Compounds, Fused-Ring|Autonomic Agents|Neurotransmitter Uptake Inhibitors|Reserpine|Adrenergic Agents|Pharmacologic Actions|Central Nervous System Depressants|Heterocyclic Compounds|Neurotransmitter Agents|Indolizidines|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Adrenergic Uptake Inhibitors|Mydriatics|Peripheral Nervous System Agents|Heterocyclic Compounds, 2-Ring|Yohimbine|Membrane Transport Modulators|Indole Alkaloids|Indoles|Adrenergic alpha-Antagonists|Central Nervous System Agents|Chemicals and Drugs Category|Tranquilizing Agents|Urological Agents|Secologanin Tryptamine Alkaloids|Chemical Actions and Uses|Alkaloids|Therapeutic Uses
byssochlamic-acid	Heterocyclic Compounds|Furans|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring
U-0126	Hydrocarbons, Acyclic|Organic Chemicals|Pharmacologic Actions|Alkadienes|Butadienes|U 0126|Chemicals and Drugs Category|Alkenes|Molecular Mechanisms of Pharmacological Action|Chemical Actions and Uses|Hydrocarbons|Polyenes|Nitriles|Enzyme Inhibitors
everolimus	Anti-Bacterial Agents|Macrocyclic Compounds|Anti-Infective Agents|Sirolimus|Polyketides|Immunosuppressive Agents|Pharmacologic Actions|Everolimus|Lactones|Antineoplastic Agents|Antibiotics, Antineoplastic|Organic Chemicals|Antifungal Agents|Physiological Effects of Drugs|Immunologic Factors|Macrolides|Polycyclic Compounds|Chemicals and Drugs Category|Chemical Actions and Uses|Therapeutic Uses
chloroquine	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Aminoquinolines|Antirheumatic Agents|Antimalarials|Anti-Infective Agents|Antiparasitic Agents|Chemicals and Drugs Category|Pharmacologic Actions|Chloroquine|Antiprotozoal Agents|Amebicides|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Quinolines|Therapeutic Uses
pentylenetetrazol	Heterocyclic Compounds|Pharmacologic Actions|Neurotransmitter Agents|Central Nervous System Agents|Physiological Effects of Drugs|GABA Antagonists|Central Nervous System Stimulants|Chemicals and Drugs Category|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 1-Ring|Azepines|Chemical Actions and Uses|Pentylenetetrazole|Convulsants|GABA Agents|Therapeutic Uses
digitoxigenin	Cardiotonic Agents|Steroids|Digitalis Glycosides|Pharmacologic Actions|Glycosides|Enzyme Inhibitors|Digitoxigenin|Physiological Effects of Drugs|Cardanolides|Cardiac Glycosides|Cardiovascular Agents|Protective Agents|Molecular Mechanisms of Pharmacological Action|Cardenolides|Anti-Arrhythmia Agents|Polycyclic Compounds|Chemicals and Drugs Category|Specialty Uses of Chemicals|Fused-Ring Compounds|Digitoxin|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
omeprazole	Omeprazole|Anti-Ulcer Agents|2-Pyridinylmethylsulfinylbenzimidazoles|Proton Pump Inhibitors|Sulfoxides|Heterocyclic Compounds, Fused-Ring|Benzimidazoles|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Enzyme Inhibitors|Heterocyclic Compounds|Organic Chemicals|Molecular Mechanisms of Pharmacological Action|Pyridines|Heterocyclic Compounds, 2-Ring|Gastrointestinal Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
probucol	Noxae|Antimetabolites|Anticholesteremic Agents|Antioxidants|Probucol|Benzene Derivatives|Pharmacologic Actions|Hydrocarbons, Cyclic|Organic Chemicals|Physiological Effects of Drugs|Protective Agents|Molecular Mechanisms of Pharmacological Action|Hypolipidemic Agents|Hydrocarbons|Phenols|Toxic Actions|Chemicals and Drugs Category|Lipid Regulating Agents|Specialty Uses of Chemicals|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
SSR-69071	Heterocyclic Compounds|Organic Chemicals|Cyclic S-Oxides|Sulfur Compounds|Heterocyclic Oxides|Chemicals and Drugs Category|Azoles|Heterocyclic Compounds, 1-Ring|Thiazoles|SSR 69071|Inorganic Chemicals
fluocinonide	Glucocorticoids|Steroids|Pharmacologic Actions|Anti-Allergic Agents|Anti-Inflammatory Agents|Pregnanes|Fluocinonide|Hormones|Fluocinolone Acetonide|Physiological Effects of Drugs|Steroids, Fluorinated|Adrenal Cortex Hormones|Pregnadienes|Hormones, Hormone Substitutes, and Hormone Antagonists|Polycyclic Compounds|Chemicals and Drugs Category|Fused-Ring Compounds|Chemical Actions and Uses|Therapeutic Uses
tianeptine	Heterocyclic Compounds|Organic Chemicals|Pharmacologic Actions|Sulfur Compounds|Central Nervous System Agents|Antidepressive Agents, Tricyclic|Chemicals and Drugs Category|Psychotropic Drugs|Thiazepines|Antidepressive Agents|Heterocyclic Compounds, 1-Ring|Thiepins|Azepines|Chemical Actions and Uses|Inorganic Chemicals|Therapeutic Uses|tianeptine
NSC-3852	Heterocyclic Compounds|Organic Chemicals|Heterocyclic Compounds, 2-Ring|5-nitroso-8-quinolinol|Nitroso Compounds|Chemicals and Drugs Category|Pharmacologic Actions|Histone Deacetylase Inhibitors|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, Fused-Ring|Hydroxyquinolines|Chemical Actions and Uses|Quinolines|Enzyme Inhibitors
TFMPP	Heterocyclic Compounds|Pharmacologic Actions|1-(3-trifluoromethylphenyl)piperazine|Neurotransmitter Agents|Physiological Effects of Drugs|Serotonin Receptor Agonists|Chemicals and Drugs Category|Piperazines|Molecular Mechanisms of Pharmacological Action|Heterocyclic Compounds, 1-Ring|Serotonin Agents|Chemical Actions and Uses
nortriptyline	Polycyclic Aromatic Hydrocarbons|Dibenzocycloheptenes|Antidepressive Agents, Tricyclic|Psychotropic Drugs|Neurotransmitter Uptake Inhibitors|Adrenergic Agents|Pharmacologic Actions|Hydrocarbons, Cyclic|Nortriptyline|Antidepressive Agents|Organic Chemicals|Benzocycloheptenes|Neurotransmitter Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Hydrocarbons|Adrenergic Uptake Inhibitors|Membrane Transport Modulators|Central Nervous System Agents|Polycyclic Compounds|Chemicals and Drugs Category|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
MG-132	Peptides|Pharmacologic Actions|Chemicals and Drugs Category|benzyloxycarbonylleucyl-leucyl-leucine aldehyde|Amino Acids, Peptides, and Proteins|Protease Inhibitors|Molecular Mechanisms of Pharmacological Action|Antineoplastic Agents|Leupeptins|Chemical Actions and Uses|Enzyme Inhibitors|Therapeutic Uses|Oligopeptides|Cysteine Proteinase Inhibitors
stiripentol	Heterocyclic Compounds|Anticonvulsants|Pharmacologic Actions|Dioxoles|Central Nervous System Agents|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|stiripentol|Dioxolanes|Chemical Actions and Uses|Therapeutic Uses
amcinonide	Hormones|Pharmacologic Actions|Glucocorticoids|Steroids|Polycyclic Compounds|Physiological Effects of Drugs|Chemicals and Drugs Category|Steroids, Fluorinated|Adrenal Cortex Hormones|Fused-Ring Compounds|Pregnadienes|Pregnanes|Chemical Actions and Uses|amcinonide|Hormones, Hormone Substitutes, and Hormone Antagonists
dexchlorpheniramine	Histamine Antagonists|Antipruritics|Dermatologic Agents|Pharmacologic Actions|Histamine H1 Antagonists|Anti-Allergic Agents|Heterocyclic Compounds|Neurotransmitter Agents|dexchlorpheniramine|Chlorpheniramine|Pheniramine|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Pyridines|Chemicals and Drugs Category|Histamine Agents|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
BMS-345541	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Quinoxalines|Imidazoles|Chemicals and Drugs Category|Azoles|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|4(2'-aminoethyl)amino-1,8-dimethylimidazo(1,2-a)quinoxaline
metaxalone	Heterocyclic Compounds|Oxazolidinones|Oxazoles|metaxalone|Physiological Effects of Drugs|Anti-Infective Agents|Chemicals and Drugs Category|Azoles|Molecular Mechanisms of Pharmacological Action|Pharmacologic Actions|Protein Synthesis Inhibitors|Heterocyclic Compounds, 1-Ring|Neuromuscular Agents|Chemical Actions and Uses|Peripheral Nervous System Agents|Therapeutic Uses|Enzyme Inhibitors
remacemide	Lipids|Neuroprotective Agents|remacemide|Fatty Acids|Anticonvulsants|Pharmacologic Actions|Acids, Acyclic|Acetates|Carboxylic Acids|Organic Chemicals|Physiological Effects of Drugs|Fatty Acids, Volatile|Protective Agents|Acetamides|Amides|Central Nervous System Agents|Chemicals and Drugs Category|Specialty Uses of Chemicals|Chemical Actions and Uses|Therapeutic Uses
gemcitabine	Nucleosides|Anti-Infective Agents|Noxae|Antimetabolites|Immunosuppressive Agents|Deoxyribonucleosides|Pharmacologic Actions|Glycosides|Antineoplastic Agents|Enzyme Inhibitors|Heterocyclic Compounds|Nucleic Acids, Nucleotides, and Nucleosides|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Immunologic Factors|Radiation-Sensitizing Agents|Ribonucleosides|Antiviral Agents|Toxic Actions|Antimetabolites, Antineoplastic|gemcitabine|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Pyrimidine Nucleosides|Pyrimidines|Cytidine|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
idarubicin	Polycyclic Aromatic Hydrocarbons|Naphthacenes|Daunorubicin|Anthracyclines|Pharmacologic Actions|Glycosides|Hydrocarbons, Cyclic|Antineoplastic Agents|Idarubicin|Enzyme Inhibitors|Antibiotics, Antineoplastic|Organic Chemicals|Topoisomerase II Inhibitors|Aminoglycosides|Molecular Mechanisms of Pharmacological Action|Topoisomerase Inhibitors|Hydrocarbons|Polycyclic Compounds|Chemicals and Drugs Category|Carbohydrates|Chemical Actions and Uses|Hydrocarbons, Aromatic|Therapeutic Uses
ketoconazole	Hormone Antagonists|14-alpha Demethylase Inhibitors|Anti-Infective Agents|Ketoconazole|Drug-Related Side Effects and Adverse Reactions|Pharmacologic Actions|Diseases Category|Chemically-Induced Disorders|Metabolic Side Effects of Drugs and Substances|Cytochrome P-450 CYP3A Inhibitors|Enzyme Inhibitors|Heterocyclic Compounds|Antifungal Agents|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Cytochrome P-450 Enzyme Inhibitors|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Chemicals and Drugs Category|Piperazines|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
ALX-5407	Peptides|N-substituted Glycines|Pharmacologic Actions|Glycine|(R)-(N-(3-(4'-fluorophenyl)-3-(4'-phenylphenoxy)propyl))sarcosine|Neurotransmitter Agents|Amino Acids|Physiological Effects of Drugs|Chemicals and Drugs Category|Amino Acids, Peptides, and Proteins|Molecular Mechanisms of Pharmacological Action|Peptoids|Chemical Actions and Uses|Glycine Agents
oxprenolol	Antihypertensive Agents|Psychotropic Drugs|Adrenergic Antagonists|Autonomic Agents|Adrenergic Agents|Pharmacologic Actions|Anti-Anxiety Agents|Sympatholytics|Phenoxypropanolamines|Central Nervous System Depressants|Organic Chemicals|Oxprenolol|Adrenergic beta-Antagonists|Neurotransmitter Agents|Physiological Effects of Drugs|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Propanolamines|Alcohols|Peripheral Nervous System Agents|Vasodilator Agents|Anti-Arrhythmia Agents|Central Nervous System Agents|Amino Alcohols|Propanols|Chemicals and Drugs Category|Amines|Tranquilizing Agents|Chemical Actions and Uses|Therapeutic Uses
BMS-536924	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Pyridones|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|BMS 536924|Heterocyclic Compounds, 1-Ring|Benzimidazoles|Pyridines
desmethylclozapine	Heterocyclic Compounds|Pharmacologic Actions|Antipsychotic Agents|norclozapine|Dibenzazepines|Central Nervous System Agents|Physiological Effects of Drugs|Chemicals and Drugs Category|Psychotropic Drugs|Tranquilizing Agents|Heterocyclic Compounds, 3-Ring|Central Nervous System Depressants|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Therapeutic Uses
YM-90709	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|2,3-dimethoxy-6,6-dimethyl-5,6-dihydrobenzo(7,8)indolizino (2,3-b)quinoxaline|Indoles|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Quinoxalines
veratridine	Heterocyclic Compounds|Antihypertensive Agents|Chemicals and Drugs Category|Veratridine|Cardiovascular Agents|Veratrum Alkaloids|Pharmacologic Actions|Cevanes|Heterocyclic Compounds, Fused-Ring|Chemical Actions and Uses|Alkaloids|Therapeutic Uses|Heterocyclic Compounds, 4 or More Rings
